Line Item Id,Live or Test,Payment Id,Purchases ID,Sales ID,Payment method,Created Date,Payment Status,Failure reason,Sales state,Refund ID,Refund reason,Refund state,Total,Description,Email,First name,Last name,Phone,Item name,Quantity,Special instructions,Tx state reason code,Unit price,Update on next display,Update time,Valid from,Modified by
66,FlurryLive,PAY-XXX,24,XXX,INSTANT_TRANSFER,10/12/2017,approved,,completed,,,,53.75,2018 Flurry Ticket Purchase,XXXX,Nate,Chris,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
67,FlurryLive,PAY-XXX,25,XXX,INSTANT_TRANSFER,10/14/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Ophelia,Cindy,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
68,FlurryLive,PAY-XXX,25,XXX,INSTANT_TRANSFER,10/14/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Philippe,Claudette,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
69,FlurryLive,PAY-XXX,26,XXX,INSTANT_TRANSFER,10/16/2017,approved,,completed,,,,113.75,2018 Flurry Ticket Purchase,XXXX,Rina,Colin,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
70,FlurryLive,PAY-XXX,26,XXX,INSTANT_TRANSFER,10/16/2017,approved,,completed,,,,113.75,2018 Flurry Ticket Purchase,XXXX,Sean,Cristobal,XXXX,DFO Individual Membership Dues,1,,,25,FALSE,,1/16/2018,Query PayPal
71,FlurryLive,PAY-XXX,26,XXX,INSTANT_TRANSFER,10/16/2017,approved,,completed,,,,113.75,2018 Flurry Ticket Purchase,XXXX,Tammy,Danielle,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
72,FlurryLive,PAY-XXX,27,XXX,INSTANT_TRANSFER,10/17/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Vince,Danny,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
73,FlurryLive,PAY-XXX,27,XXX,INSTANT_TRANSFER,10/17/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Whitney,Debby,XXXX,"FULL FESTIVAL Military, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
74,FlurryLive,PAY-XXX,27,XXX,INSTANT_TRANSFER,10/17/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Alberto,Dolly,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
75,FlurryLive,PAY-XXX,28,XXX,INSTANT_TRANSFER,10/17/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Beryl,Don,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
76,FlurryLive,PAY-XXX,28,XXX,INSTANT_TRANSFER,10/17/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Chris,Dorian,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
77,FlurryLive,PAY-XXX,29,XXX,INSTANT_TRANSFER,10/17/2017,approved,,completed,,,,193.75,2018 Flurry Tickets Purchase,XXXX,Debby,Earl,XXXX,"FULL FESTIVAL Adult, Non-refundable",2,,,95,FALSE,,1/16/2018,Query PayPal
78,FlurryLive,PAY-XXX,29,XXX,INSTANT_TRANSFER,10/17/2017,approved,,completed,,,,193.75,2018 Flurry Tickets Purchase,XXXX,Ernesto,Edouard,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
79,FlurryLive,PAY-XXX,30,XXX,INSTANT_TRANSFER,10/18/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Florence,Elsa,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
80,FlurryLive,PAY-XXX,30,XXX,INSTANT_TRANSFER,10/18/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Gordon,Emily,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
81,FlurryLive,PAY-XXX,31,XXX,INSTANT_TRANSFER,10/19/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Helene,Erin,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
82,FlurryLive,PAY-XXX,31,XXX,INSTANT_TRANSFER,10/19/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Isaac,Ernesto,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
83,FlurryLive,PAY-XXX,32,XXX,INSTANT_TRANSFER,10/19/2017,approved,,completed,,,,223.75,2018 Flurry Tickets Purchase,XXXX,Joyce,Fay,XXXX,"FULL FESTIVAL Senior, Non-refundable",2,,,85,FALSE,,1/16/2018,Query PayPal
84,FlurryLive,PAY-XXX,32,XXX,INSTANT_TRANSFER,10/19/2017,approved,,completed,,,,223.75,2018 Flurry Tickets Purchase,XXXX,Kirk,Fernand,XXXX,Friend of the Flurry Voluntary Donation,1,,,50,FALSE,,1/16/2018,Query PayPal
85,FlurryLive,PAY-XXX,32,XXX,INSTANT_TRANSFER,10/19/2017,approved,,completed,,,,223.75,2018 Flurry Tickets Purchase,XXXX,Leslie,Fiona,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
86,FlurryLive,PAY-XXX,33,XXX,INSTANT_TRANSFER,10/20/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Michael,Florence,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
87,FlurryLive,PAY-XXX,33,XXX,INSTANT_TRANSFER,10/20/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Nadine,Franklin,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
88,FlurryLive,PAY-XXX,34,XXX,INSTANT_TRANSFER,10/22/2017,approved,,refunded,XXX,,completed,193.75,2018 Flurry Tickets Purchase,XXXX,Oscar,Fred,XXXX,"FULL FESTIVAL Adult, Non-refundable",2,,,95,FALSE,,1/28/2018,Query PayPal
89,FlurryLive,PAY-XXX,34,XXX,INSTANT_TRANSFER,10/22/2017,approved,,refunded,XXX,,completed,193.75,2018 Flurry Tickets Purchase,XXXX,Patty,Gabrielle,XXXX,Service Fee,1,,,3.75,FALSE,,1/28/2018,Query PayPal
90,FlurryLive,PAY-XXX,35,XXX,INSTANT_TRANSFER,10/23/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Rafael,Gaston,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
91,FlurryLive,PAY-XXX,35,XXX,INSTANT_TRANSFER,10/23/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Sara,Gert,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
92,FlurryLive,PAY-XXX,36,XXX,INSTANT_TRANSFER,10/23/2017,approved,,completed,,,,193.75,2018 Flurry Tickets Purchase,XXXX,Tony,Gonzalo,XXXX,"FULL FESTIVAL Adult, Non-refundable",2,,,95,FALSE,,1/16/2018,Query PayPal
93,FlurryLive,PAY-XXX,36,XXX,INSTANT_TRANSFER,10/23/2017,approved,,completed,,,,193.75,2018 Flurry Tickets Purchase,XXXX,Valerie,Gordon,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
94,FlurryLive,PAY-XXX,37,XXX,INSTANT_TRANSFER,10/24/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,William,Grace,XXXX,"FULL FESTIVAL Student, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
95,FlurryLive,PAY-XXX,37,XXX,INSTANT_TRANSFER,10/24/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Andrea,Hanna,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
96,FlurryLive,PAY-XXX,38,XXX,INSTANT_TRANSFER,10/25/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Barry,Harvey,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
97,FlurryLive,PAY-XXX,38,XXX,INSTANT_TRANSFER,10/25/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Chantal,Helene,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
98,FlurryLive,PAY-XXX,38,XXX,INSTANT_TRANSFER,10/25/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Dorian,Henri,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
99,FlurryLive,PAY-XXX,39,XXX,INSTANT_TRANSFER,10/26/2017,approved,,completed,,,,173.75,2018 Flurry Tickets Purchase,XXXX,Erin,Hermine,XXXX,"FULL FESTIVAL Student, Non-refundable",1,XXXX,,85,FALSE,,1/16/2018,Query PayPal
100,FlurryLive,PAY-XXX,39,XXX,INSTANT_TRANSFER,10/26/2017,approved,,completed,,,,173.75,2018 Flurry Tickets Purchase,XXXX,Fernand,Humberto,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,XXXX,,85,FALSE,,1/16/2018,Query PayPal
101,FlurryLive,PAY-XXX,39,XXX,INSTANT_TRANSFER,10/26/2017,approved,,completed,,,,173.75,2018 Flurry Tickets Purchase,XXXX,Gabrielle,Ian,XXXX,Service Fee,1,XXXX,,3.75,FALSE,,1/16/2018,Query PayPal
102,FlurryLive,PAY-XXX,40,XXX,INSTANT_TRANSFER,10/27/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Humberto,Ida,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
103,FlurryLive,PAY-XXX,40,XXX,INSTANT_TRANSFER,10/27/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Imelda,Imelda,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
104,FlurryLive,PAY-XXX,40,XXX,INSTANT_TRANSFER,10/27/2017,approved,,completed,,,,183.75,2018 Flurry Tickets Purchase,XXXX,Jerry,Irma,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
105,FlurryLive,PAY-XXX,41,XXX,INSTANT_TRANSFER,10/30/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Karen,Isaac,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
106,FlurryLive,PAY-XXX,41,XXX,INSTANT_TRANSFER,10/30/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Lorenzo,Isaias,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
107,FlurryLive,PAY-XXX,42,XXX,INSTANT_TRANSFER,10/30/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Melissa,Jerry,XXXX,"FULL FESTIVAL Student, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
108,FlurryLive,PAY-XXX,42,XXX,INSTANT_TRANSFER,10/30/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Nestor,Jose,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
109,FlurryLive,PAY-XXX,43,XXX,INSTANT_TRANSFER,10/31/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Olga,Josephine,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
110,FlurryLive,PAY-XXX,43,XXX,INSTANT_TRANSFER,10/31/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Pablo,Joyce,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
111,FlurryLive,PAY-XXX,44,XXX,INSTANT_TRANSFER,11/2/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Rebekah,Julia,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
112,FlurryLive,PAY-XXX,44,XXX,INSTANT_TRANSFER,11/2/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Sebastien,Julian,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
113,FlurryLive,PAY-XXX,45,XXX,INSTANT_TRANSFER,11/4/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Tanya,Karen,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
114,FlurryLive,PAY-XXX,45,XXX,INSTANT_TRANSFER,11/4/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Van,Karl,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
115,FlurryLive,PAY-XXX,46,XXX,INSTANT_TRANSFER,11/4/2017,approved,,completed,,,,193.75,2018 Flurry Tickets Purchase,XXXX,Wendy,Kate,XXXX,"FULL FESTIVAL Adult, Non-refundable",2,,,95,FALSE,,1/16/2018,Query PayPal
116,FlurryLive,PAY-XXX,46,XXX,INSTANT_TRANSFER,11/4/2017,approved,,completed,,,,193.75,2018 Flurry Tickets Purchase,XXXX,Arthur,Katia,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
117,FlurryLive,PAY-XXX,47,XXX,INSTANT_TRANSFER,11/4/2017,approved,,completed,,,,53.75,2018 Flurry Ticket Purchase,XXXX,Bertha,Kirk,XXXX,"FULL FESTIVAL Teen,&nbsp;Non-refundable",1,,,50,FALSE,,1/16/2018,Query PayPal
118,FlurryLive,PAY-XXX,47,XXX,INSTANT_TRANSFER,11/4/2017,approved,,completed,,,,53.75,2018 Flurry Ticket Purchase,XXXX,Cristobal,Kyle,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
119,FlurryLive,PAY-XXX,48,XXX,INSTANT_TRANSFER,11/8/2017,approved,,completed,,,,170.75,2018 Flurry Tickets Purchase,XXXX,Dolly,Larry,XXXX,"ALL SATURDAY Adult, Non-refundable",1,,,62,FALSE,,1/16/2018,Query PayPal
120,FlurryLive,PAY-XXX,48,XXX,INSTANT_TRANSFER,11/8/2017,approved,,completed,,,,170.75,2018 Flurry Tickets Purchase,XXXX,Edouard,Laura,XXXX,"ALL SATURDAY Senior, Non-refundable",1,,,48,FALSE,,1/16/2018,Query PayPal
121,FlurryLive,PAY-XXX,48,XXX,INSTANT_TRANSFER,11/8/2017,approved,,completed,,,,170.75,2018 Flurry Tickets Purchase,XXXX,Fay,Lee,XXXX,"ALL SUNDAY Adult, Non-refundable",1,,,34,FALSE,,1/16/2018,Query PayPal
122,FlurryLive,PAY-XXX,48,XXX,INSTANT_TRANSFER,11/8/2017,approved,,completed,,,,170.75,2018 Flurry Tickets Purchase,XXXX,Gonzalo,Leslie,XXXX,"ALL SUNDAY Senior, Non-refundable",1,,,23,FALSE,,1/16/2018,Query PayPal
123,FlurryLive,PAY-XXX,48,XXX,INSTANT_TRANSFER,11/8/2017,approved,,completed,,,,170.75,2018 Flurry Tickets Purchase,XXXX,Hanna,Lisa,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
124,FlurryLive,PAY-XXX,49,XXX,INSTANT_TRANSFER,11/10/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Isaias,Lorenzo,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
125,FlurryLive,PAY-XXX,49,XXX,INSTANT_TRANSFER,11/10/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Josephine,Marco,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
126,FlurryLive,PAY-XXX,50,XXX,INSTANT_TRANSFER,11/11/2017,approved,,completed,,,,103.75,2018 Flurry Ticket Purchase,XXXX,Kyle,Maria,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,XXXX,,95,FALSE,,1/16/2018,Query PayPal
127,FlurryLive,PAY-XXX,50,XXX,INSTANT_TRANSFER,11/11/2017,approved,,completed,,,,103.75,2018 Flurry Ticket Purchase,XXXX,Laura,Martin,XXXX,Friend of the Flurry Voluntary Donation,1,XXXX,,5,FALSE,,1/16/2018,Query PayPal
128,FlurryLive,PAY-XXX,50,XXX,INSTANT_TRANSFER,11/11/2017,approved,,completed,,,,103.75,2018 Flurry Ticket Purchase,XXXX,Marco,Melissa,XXXX,Service Fee,1,XXXX,,3.75,FALSE,,1/16/2018,Query PayPal
129,FlurryLive,PAY-XXX,51,XXX,INSTANT_TRANSFER,11/12/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Nana,Michael,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
130,FlurryLive,PAY-XXX,51,XXX,INSTANT_TRANSFER,11/12/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Omar,Mindy,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
131,FlurryLive,PAY-XXX,52,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,103.75,2018 Flurry Tickets Purchase,XXXX,Paulette,Nadine,XXXX,"FULL FESTIVAL Teen,&nbsp;Non-refundable",2,,,50,FALSE,,1/16/2018,Query PayPal
132,FlurryLive,PAY-XXX,52,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,103.75,2018 Flurry Tickets Purchase,XXXX,Rene,Nana,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
133,FlurryLive,PAY-XXX,53,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Sally,Nate,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
134,FlurryLive,PAY-XXX,53,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Teddy,Nestor,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
135,FlurryLive,PAY-XXX,54,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Vicky,Nicholas,XXXX,"FULL FESTIVAL Student, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
136,FlurryLive,PAY-XXX,54,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Wilfred,Nicole,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
137,FlurryLive,PAY-XXX,55,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Ana,Odette,XXXX,"FULL FESTIVAL Student, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
138,FlurryLive,PAY-XXX,55,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,88.75,2018 Flurry Ticket Purchase,XXXX,Bill,Olga,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
139,FlurryLive,PAY-XXX,56,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Claudette,Omar,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
140,FlurryLive,PAY-XXX,56,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Danny,Ophelia,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
141,FlurryLive,PAY-XXX,57,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Elsa,Oscar,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
142,FlurryLive,PAY-XXX,57,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Fred,Owen,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
143,FlurryLive,PAY-XXX,58,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,118.75,2018 Flurry Ticket Purchase,XXXX,Grace,Pablo,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
144,FlurryLive,PAY-XXX,58,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,118.75,2018 Flurry Ticket Purchase,XXXX,Henri,Patty,XXXX,Friend of the Flurry Voluntary Donation,1,,,20,FALSE,,1/16/2018,Query PayPal
145,FlurryLive,PAY-XXX,58,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,118.75,2018 Flurry Ticket Purchase,XXXX,Ida,Paula,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
146,FlurryLive,PAY-XXX,59,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,113.75,2018 Flurry Ticket Purchase,XXXX,Julian,Paulette,XXXX,"FULL FESTIVAL DFO Member, Non-refundable",1,,,85,FALSE,,1/16/2018,Query PayPal
147,FlurryLive,PAY-XXX,59,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,113.75,2018 Flurry Ticket Purchase,XXXX,Kate,Peter,XXXX,DFO Individual Membership Dues,1,,,25,FALSE,,1/16/2018,Query PayPal
148,FlurryLive,PAY-XXX,59,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,113.75,2018 Flurry Ticket Purchase,XXXX,Larry,Philippe,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
149,FlurryLive,PAY-XXX,60,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Mindy,Rafael,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
150,FlurryLive,PAY-XXX,60,XXX,INSTANT_TRANSFER,11/13/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Nicholas,Rebekah,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
151,FlurryLive,PAY-XXX,61,XXX,INSTANT_TRANSFER,11/14/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Odette,Rene,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
152,FlurryLive,PAY-XXX,61,XXX,INSTANT_TRANSFER,11/14/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Peter,Richard,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
153,FlurryLive,PAY-XXX,62,XXX,INSTANT_TRANSFER,11/14/2017,approved,,completed,,,,98.75,2018 Flurry Ticket Purchase,XXXX,Rose,Rina,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,FALSE,,1/16/2018,Query PayPal
